Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Vikings: Wolves of Midgard,PC,66,14,6.9,63,Games Farm,M,Role-Playing
Toukiden 2,PlayStation 4,77,46,7.5,93,Koei Tecmo Games,T,Role-Playing
Toukiden 2,PlayStation Vita,,,7.2,22,Koei Tecmo Games,T,Role-Playing
Styx: Shards of Darkness,PlayStation 4,72,31,7.2,64,Cyanide,M,Action Adventure
Styx: Shards of Darkness,Xbox One,72,12,7.3,29,Cyanide,M,Action Adventure
Pac-Man Championship Edition 2 + Arcade Game Series,PlayStation 4,,,tbd,,Bandai Namco Games,E,Miscellaneous
Berserk and the Band of the Hawk,PlayStation 4,66,53,7.0,91,Omega Force,M,Action
For Honor,PC,76,31,5.2,951,Ubisoft Montreal,M,Action Adventure
For Honor,PlayStation 4,78,59,6.1,1098,Ubisoft Montreal,M,Action Adventure
For Honor,Xbox One,79,26,5.9,302,Ubisoft Montreal,M,Action Adventure
Hitman,Xbox One,85,6,7.7,83,Io Interactive,M,Modern
Attack on Titan,PlayStation Vita,,,7.9,16,Omega Force,M,Action
Attack on Titan,PlayStation 4,74,58,7.1,134,Omega Force,M,Action
Attack on Titan,PlayStation 3,,,7.8,13,Omega Force,M,Action
Mobile Suit Gundam: Extreme VS-Force,PlayStation Vita,57,25,6.8,17,"Lancarse, Bandai Namco Games",E10+,Action
Assassin's Creed: The Ezio Collection,PlayStation 4,72,33,8.1,313,Ubisoft Montreal,M,Miscellaneous
Assassin's Creed: The Ezio Collection,Xbox One,71,16,7.8,76,Ubisoft Montreal,M,Miscellaneous
Overcooked!,PlayStation 4,78,24,7.9,195,Ghost Town Games Ltd.,E,Action
Overcooked!,Xbox One,80,13,7.3,48,Ghost Town Games Ltd.,E,Action
Watch Dogs 2,PC,75,16,7.0,939,Ubisoft Montreal,M,Action Adventure
Watch Dogs 2,PlayStation 4,82,95,7.6,1733,Ubisoft Montreal,M,Action Adventure
Watch Dogs 2,Xbox One,81,11,7.4,340,Ubisoft Montreal,M,Action Adventure
Dishonored 2,PC,86,40,7.3,1182,Arkane Studios,M,Action Adventure
Dishonored 2,PlayStation 4,88,62,8.1,1416,Arkane Studios,M,Action Adventure
Dishonored 2,Xbox One,88,25,7.9,399,Arkane Studios,M,Action Adventure
Cartoon Network: Battle Crashers,Xbox One,,,3.2,6,Magic Pockets,E10+,Action
Cartoon Network: Battle Crashers,3DS,21,4,2.3,8,Magic Pockets,E10+,Action
Cartoon Network: Battle Crashers,PlayStation 4,21,4,1.5,29,Magic Pockets,E10+,Action
Pac-Man Championship Edition 2 + Arcade Game Series,Xbox One,,,tbd,,Bandai Namco Games,E,Miscellaneous
Super Dungeon Bros,PlayStation 4,43,10,2.0,12,React Games,E10+,Action
Earth's Dawn,PlayStation 4,68,12,6.9,15,One or Eight,T,Action
Berserk and the Band of the Hawk,PlayStation Vita,,,8.5,18,Omega Force,M,Action
Batman: Return to Arkham,Xbox One,77,6,8.5,117,"Rocksteady Studios, Virtuos",T,Miscellaneous
Batman: Return to Arkham,PlayStation 4,73,28,8.4,366,"Rocksteady Studios, Virtuos",T,Miscellaneous
LEGO Harry Potter Collection,PlayStation 4,73,17,7.6,67,Warner Bros. Interactive Entertainment,E10+,Miscellaneous
Battlezone,PlayStation 4,66,40,7.2,52,Rebellion,T,Action
Metal Gear Solid V: The Definitive Experience,PlayStation 4,,,8.2,66,Kojima Productions,M,Miscellaneous
Metal Gear Solid V: The Definitive Experience,Xbox One,,,8.4,19,Kojima Productions,M,Miscellaneous
RIGS: Mechanized Combat League,PlayStation 4,78,45,7.5,127,Guerilla Cambridge,T,Simulation
Aragami,PlayStation 4,71,30,6.9,50,Lince Works,M,Action Adventure
Batman: Arkham VR,PlayStation 4,74,62,7.2,181,Rocksteady Studios,M,Action
Geometry Wars 3: Dimensions Evolved,PlayStation 4,,,6.2,6,Lucid Games,E,Action
Geometry Wars 3: Dimensions Evolved,Xbox One,,,4.8,4,Lucid Games,E,Action
Prototype Biohazard Bundle,PlayStation 4,48,4,3.2,76,Radical Entertainment,M,Miscellaneous
Prototype Biohazard Bundle,Xbox One,56,4,2.9,15,Radical Entertainment,M,Miscellaneous
God Eater Resurrection,PlayStation Vita,,,7.9,23,"Shift, Bandai Namco Games",T,Role-Playing
God Eater Resurrection,PlayStation 4,70,18,7.0,78,"Shift, Bandai Namco Games",T,Role-Playing
Valkyrie Drive: Bhikkhuni,PlayStation Vita,72,7,8.1,22,Marvelous Inc.,M,Action
Dead Rising,PlayStation 4,78,6,7.5,86,Capcom,M,Action Adventure
Quantum Break,PC,66,14,5.7,955,Remedy Entertainment,M,Action
Dead Rising 2,Xbox One,,,6.8,12,Blue Castle Games,M,Action Adventure
Dead Rising 2,PlayStation 4,82,4,7.2,42,Blue Castle Games,M,Action Adventure
Dead Rising,Xbox One,,,7.6,25,Capcom,M,Action Adventure
Metroid Prime: Federation Force,3DS,64,56,5.5,267,"Next Level Games, Nintendo",T,Action
Attack on Titan,Xbox One,77,8,6.4,29,Omega Force,M,Action
Azure Striker Gunvolt: Striker Pack,3DS,,,tbd,,Inti Creates,T,Miscellaneous
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,PlayStation Vita,79,25,8.3,27,Spike Chunsoft,E10+,Role-Playing
Gal*Gun: Double Peace,PlayStation Vita,,,7.4,11,"Alchemist, Inti Creates",M,Action
Resident Evil 5,Xbox One,75,8,7.4,98,Capcom,M,Action Adventure
